City,State,Adult Population,Population 65+
Akron,OH,547990.00 ,111042.00 
Alameda County,CA,1310189.00 ,214991.00 
Albany,GA,157143.00 ,30466.00 
Albany,NY,1477723.00 ,318695.00 
Albuquerque,NM,1336795.00 ,279457.00 
Alexandria,LA,221597.00 ,44519.00 
Allentown,PA,960572.00 ,207376.00 
Altoona,PA,234560.00 ,56483.00 
Amarillo,TX,332671.00 ,61267.00 
Anchorage,AK,551912.00 ,74327.00 
Ann Arbor,MI,1115589.00 ,209105.00 
Appleton,WI,254546.00 ,52373.00 
Arlington,VA,1909537.00 ,270129.00 
Asheville,NC,553131.00 ,146572.00 
Atlanta,GA,5027281.00 ,799338.00 
Augusta,GA,540242.00 ,105665.00 
Aurora,IL,245644.00 ,34035.00 
Austin,TX,1523446.00 ,208426.00 
Bakersfield,CA,847115.00 ,123309.00 
Baltimore,MD,2015003.00 ,379769.00 
Bangor,ME,318554.00 ,77904.00 
Baton Rouge,LA,746856.00 ,127072.00 
Beaumont,TX,356372.00 ,70621.00 
Bend,OR,189876.00 ,47299.00 
Billings,MT,476520.00 ,97688.00 
Binghamton,NY,286154.00 ,67043.00 
Birmingham,AL,1774690.00 ,364610.00 
Bismarck,ND,182581.00 ,38811.00 
Bloomington,IL,160796.00 ,25937.00 
Blue Island,IL,670968.00 ,134483.00 
Boise,ID,701166.00 ,134953.00 
Boston,MA,4022208.00 ,782014.00 
Boulder,CO,267487.00 ,42093.00 
Bradenton,FL,266378.00 ,82842.00 
Bridgeport,CT,539133.00 ,102171.00 
Bronx,NY,1094741.00 ,170439.00 
Bryan,TX,230741.00 ,32271.00 
Buffalo,NY,1090373.00 ,234541.00 
Burlington,VT,522720.00 ,104104.00 
Camden,NJ,2208721.00 ,489214.00 
Canton,OH,495349.00 ,113936.00 
Cape Girardeau,MO,202898.00 ,45230.00 
Casper,WY,152884.00 ,31930.00 
Cedar Rapids,IA,234872.00 ,48228.00 
Charleston,SC,914407.00 ,196315.00 
Charleston,WV,650209.00 ,155752.00 
Charlotte,NC,2024238.00 ,353589.00 
Charlottesville,VA,477802.00 ,100652.00 
Chattanooga,TN,567490.00 ,121347.00 
Chicago,IL,2045072.00 ,306266.00 
Chico,CA,239882.00 ,53947.00 
Cincinnati,OH,1293436.00 ,245509.00 
Clearwater,FL,434821.00 ,131578.00 
Cleveland,OH,1602896.00 ,353619.00 
Colorado Springs,CO,673350.00 ,119939.00 
Columbia,MO,557924.00 ,115795.00 
Columbia,SC,975665.00 ,189632.00 
Columbus,GA,280815.00 ,48222.00 
Columbus,OH,2405737.00 ,441233.00 
Contra Costa County,CA,844608.00 ,159096.00 
Corpus Christi,TX,439951.00 ,83055.00 
Covington,KY,327040.00 ,57022.00 
Dallas,TX,3918830.00 ,583050.00 
Danville,PA,481423.00 ,99782.00 
Davenport,IA,379562.00 ,86153.00 
Dayton,OH,825712.00 ,177147.00 
Dearborn,MI,382586.00 ,75636.00 
Denver,CO,2380353.00 ,379848.00 
Des Moines,IA,869785.00 ,168710.00 
Detroit,MI,1315527.00 ,254755.00 
Dothan,AL,290096.00 ,65608.00 
Dubuque,IA,125779.00 ,28314.00 
Duluth,MN,274471.00 ,63578.00 
Durham,NC,1097252.00 ,224839.00 
East Long Island,NY,3811249.00 ,751403.00 
El Paso,TX,839182.00 ,146112.00 
Elgin,IL,610597.00 ,100811.00 
Elmira,NY,255069.00 ,58415.00 
Elyria,OH,200261.00 ,44042.00 
Erie,PA,561138.00 ,130069.00 
Eugene,OR,603572.00 ,141016.00 
Evanston,IL,711961.00 ,162705.00 
Evansville,IN,528945.00 ,115347.00 
Everett,WA,542404.00 ,104811.00 
Fargo/Moorhead MN,ND,432080.00 ,90275.00 
Flint,MI,426480.00 ,89340.00 
Florence,SC,287862.00 ,62812.00 
Fort Collins,CO,287995.00 ,47223.00 
Fort Lauderdale,FL,2396614.00 ,619365.00 
Fort Myers,FL,1079022.00 ,373713.00 
Fort Smith,AR,281971.00 ,62427.00 
Fort Wayne,IN,651379.00 ,132442.00 
Fort Worth,TX,1764292.00 ,277941.00 
Fresno,CA,918145.00 ,146620.00 
Gainesville,FL,464038.00 ,96829.00 
Gary,IN,392167.00 ,80990.00 
Grand Forks,ND,130084.00 ,25793.00 
Grand Junction,CO,270519.00 ,57077.00 
Grand Rapids,MI,933913.00 ,171359.00 
Great Falls,MT,114922.00 ,25583.00 
Greeley,CO,294267.00 ,55594.00 
Green Bay,WI,402953.00 ,88095.00 
Greensboro,NC,505727.00 ,100544.00 
Greenville,NC,679309.00 ,136432.00 
Greenville,SC,743619.00 ,153533.00 
Gulfport,MS,159671.00 ,28559.00 
Hackensack,NJ,1048868.00 ,200075.00 
Harlingen,TX,418633.00 ,76061.00 
Harrisburg,PA,825408.00 ,183199.00 
Hartford,CT,1196337.00 ,245503.00 
Hattiesburg,MS,240419.00 ,46076.00 
Hickory,NC,229268.00 ,51364.00 
Hinsdale,IL,385733.00 ,67856.00 
Honolulu,HI,1114023.00 ,238126.00 
Houma,LA,206176.00 ,37957.00 
Houston,TX,5278689.00 ,769270.00 
Hudson,FL,351228.00 ,112737.00 
Huntington,WV,276340.00 ,63341.00 
Huntsville,AL,506155.00 ,100153.00 
Idaho Falls,ID,169856.00 ,28437.00 
Indianapolis,IN,2249394.00 ,412838.00 
Iowa City,IA,279218.00 ,53012.00 
Jackson,MS,792834.00 ,152349.00 
Jackson,TN,256100.00 ,58414.00 
Jacksonville,FL,1340118.00 ,254567.00 
Johnson City,TN,235522.00 ,51395.00 
Johnstown,PA,170816.00 ,45254.00 
Joliet,IL,516812.00 ,90546.00 
Jonesboro,AR,185969.00 ,38518.00 
Joplin,MO,282798.00 ,63826.00 
Kalamazoo,MI,520196.00 ,104986.00 
Kansas City,MO,1950902.00 ,362250.00 
Kettering,OH,334281.00 ,73199.00 
Kingsport,TN,375852.00 ,93948.00 
Knoxville,TN,1108058.00 ,250729.00 
La Crosse,WI,279590.00 ,60747.00 
Lafayette,IN,199535.00 ,31824.00 
Lafayette,LA,477559.00 ,85840.00 
Lake Charles,LA,210604.00 ,37934.00 
Lakeland,FL,317384.00 ,73118.00 
Lancaster,PA,528715.00 ,112509.00 
Lansing,MI,561636.00 ,102892.00 
Las Vegas,NV,1704994.00 ,321669.00 
Lawton,OK,152745.00 ,28422.00 
Lebanon,NH,320499.00 ,77792.00 
Lexington,KY,1192842.00 ,231348.00 
Lincoln,NE,459005.00 ,93970.00 
Little Rock,AR,1212482.00 ,258840.00 
Longview,TX,161316.00 ,33367.00 
Los Angeles,CA,7874162.00 ,1268093.00 
Louisville,KY,1385741.00 ,271762.00 
Lubbock,TX,546461.00 ,91980.00 
Lynchburg,VA,217344.00 ,49862.00 
Macon,GA,568689.00 ,111226.00 
Madison,WI,886932.00 ,165619.00 
Manchester,NH,714679.00 ,143594.00 
Manhattan,NY,4173437.00 ,725342.00 
Marquette,MI,159278.00 ,39415.00 
Marshfield,WI,295582.00 ,70770.00 
Mason City,IA,100326.00 ,26837.00 
McAllen,TX,486579.00 ,74033.00 
Medford,OR,351154.00 ,95565.00 
Melrose Park,IL,1031510.00 ,185204.00 
Memphis,TN,1366198.00 ,246308.00 
Meridian,MS,148060.00 ,32340.00 
Mesa,AZ,1135619.00 ,212738.00 
Metairie,LA,366346.00 ,76217.00 
Miami,FL,2741481.00 ,526396.00 
Milwaukee,WI,2079205.00 ,380644.00 
Minneapolis,MN,2570355.00 ,478271.00 
Minot,ND,112434.00 ,19303.00 
Missoula,MT,315091.00 ,74302.00 
Mobile,AL,648957.00 ,135227.00 
Modesto,CA,680976.00 ,119559.00 
Monroe,LA,204787.00 ,41070.00 
Montgomery,AL,360863.00 ,68023.00 
Morgantown,WV,329288.00 ,68760.00 
Morristown,NJ,795142.00 ,157620.00 
Muncie,IN,128803.00 ,27663.00 
Munster,IN,239843.00 ,45234.00 
Muskegon,MI,209507.00 ,45654.00 
Napa,CA,218503.00 ,53625.00 
Nashville,TN,2282662.00 ,410987.00 
Neenah,WI,191863.00 ,39899.00 
New Brunswick,NJ,845392.00 ,153380.00 
New Haven,CT,1177072.00 ,244084.00 
New Orleans,LA,554325.00 ,92037.00 
Newark,NJ,1233539.00 ,198090.00 
Newport News,VA,447424.00 ,89385.00 
Norfolk,VA,1023500.00 ,174191.00 
Ocala,FL,449792.00 ,185054.00 
Odessa,TX,283753.00 ,43182.00 
Ogden,UT,356000.00 ,51907.00 
Oklahoma City,OK,1491485.00 ,279037.00 
Olympia,WA,320156.00 ,71021.00 
Omaha,NE,1010995.00 ,195073.00 
Orange County,CA,2662559.00 ,456181.00 
Orlando,FL,3130935.00 ,714153.00 
Ormond Beach,FL,338880.00 ,108815.00 
Owensboro,KY,112038.00 ,24900.00 
Oxford,MS,116854.00 ,21977.00 
Paducah,KY,290227.00 ,70421.00 
Palm Springs/Rancho Mira,CA,305976.00 ,94312.00 
Paterson,NJ,310775.00 ,60087.00 
Pensacola,FL,636854.00 ,130505.00 
Peoria,IL,469070.00 ,106095.00 
Petoskey,MI,142627.00 ,37819.00 
Philadelphia,PA,3331376.00 ,632032.00 
Phoenix,AZ,2761090.00 ,532669.00 
Pittsburgh,PA,2324172.00 ,541967.00 
Pontiac,MI,376936.00 ,70983.00 
Portland,ME,876231.00 ,194509.00 
Portland,OR,2215589.00 ,412976.00 
Providence,RI,986702.00 ,192737.00 
Provo,UT,436975.00 ,52585.00 
Pueblo,CO,138550.00 ,32449.00 
Raleigh,NC,1670043.00 ,272076.00 
Rapid City,SD,173590.00 ,37388.00 
Reading,PA,466917.00 ,99775.00 
Redding,CA,276179.00 ,64591.00 
Reno,NV,605953.00 ,127753.00 
Richmond,VA,1409076.00 ,264187.00 
Ridgewood,NJ,338732.00 ,65551.00 
Roanoke,VA,569741.00 ,127897.00 
Rochester,MN,320367.00 ,71522.00 
Rochester,NY,1036499.00 ,211611.00 
Rockford,IL,552131.00 ,118035.00 
Rome,GA,221920.00 ,45706.00 
Royal Oak,MI,556198.00 ,117512.00 
Sacramento,CA,2076640.00 ,403030.00 
Saginaw,MI,489824.00 ,124235.00 
Salem,OR,255161.00 ,50897.00 
Salinas,CA,303247.00 ,51843.00 
Salisbury,MD,371513.00 ,100254.00 
Salt Lake City,UT,1552687.00 ,249737.00 
