Month,Percentage,City,State,Percentage of Potentially Available Beds Needed,Percentage of Potentially Available ICU Beds Needed
6,0.2,Akron,OH,1.63 ,2.36 
6,0.2,Alameda County,CA,2.14 ,3.52 
6,0.2,Albany,GA,0.95 ,2.19 
6,0.2,Albany,NY,1.30 ,2.92 
6,0.2,Albuquerque,NM,1.87 ,3.01 
6,0.2,Alexandria,LA,0.94 ,4.29 
6,0.2,Allentown,PA,1.19 ,2.47 
6,0.2,Altoona,PA,1.69 ,3.34 
6,0.2,Amarillo,TX,0.96 ,1.44 
6,0.2,Anchorage,AK,1.41 ,3.33 
6,0.2,Ann Arbor,MI,1.59 ,2.51 
6,0.2,Appleton,WI,2.12 ,2.85 
6,0.2,Arlington,VA,2.52 ,3.47 
6,0.2,Asheville,NC,1.51 ,2.30 
6,0.2,Atlanta,GA,1.71 ,2.82 
6,0.2,Augusta,GA,0.99 ,1.43 
6,0.2,Aurora,IL,1.64 ,3.48 
6,0.2,Austin,TX,2.18 ,3.10 
6,0.2,Bakersfield,CA,1.47 ,3.44 
6,0.2,Baltimore,MD,1.27 ,2.09 
6,0.2,Bangor,ME,1.21 ,3.13 
6,0.2,Baton Rouge,LA,1.01 ,2.37 
6,0.2,Beaumont,TX,1.49 ,2.71 
6,0.2,Bend,OR,1.82 ,4.44 
6,0.2,Billings,MT,0.79 ,2.72 
6,0.2,Binghamton,NY,1.18 ,5.09 
6,0.2,Birmingham,AL,0.99 ,1.61 
6,0.2,Bismarck,ND,0.74 ,1.79 
6,0.2,Bloomington,IL,1.48 ,4.04 
6,0.2,Blue Island,IL,1.42 ,1.90 
6,0.2,Boise,ID,1.49 ,2.97 
6,0.2,Boston,MA,1.75 ,3.02 
6,0.2,Boulder,CO,1.56 ,2.30 
6,0.2,Bradenton,FL,1.34 ,2.34 
6,0.2,Bridgeport,CT,1.73 ,3.24 
6,0.2,Bronx,NY,1.24 ,3.16 
6,0.2,Bryan,TX,1.40 ,2.65 
6,0.2,Buffalo,NY,1.03 ,3.19 
6,0.2,Burlington,VT,1.25 ,3.45 
6,0.2,Camden,NJ,1.41 ,2.73 
6,0.2,Canton,OH,1.30 ,2.01 
6,0.2,Cape Girardeau,MO,0.91 ,2.02 
6,0.2,Casper,WY,0.85 ,3.58 
6,0.2,Cedar Rapids,IA,1.13 ,4.30 
6,0.2,Charleston,SC,1.29 ,2.60 
6,0.2,Charleston,WV,0.97 ,2.14 
6,0.2,Charlotte,NC,1.76 ,2.33 
6,0.2,Charlottesville,VA,1.52 ,3.06 
6,0.2,Chattanooga,TN,1.23 ,2.26 
6,0.2,Chicago,IL,1.02 ,1.91 
6,0.2,Chico,CA,1.96 ,4.00 
6,0.2,Cincinnati,OH,1.34 ,2.05 
6,0.2,Clearwater,FL,1.11 ,2.82 
6,0.2,Cleveland,OH,0.91 ,1.65 
6,0.2,Colorado Springs,CO,2.01 ,3.74 
6,0.2,Columbia,MO,1.12 ,2.45 
6,0.2,Columbia,SC,1.33 ,2.12 
6,0.2,Columbus,GA,0.93 ,3.04 
6,0.2,Columbus,OH,1.44 ,3.11 
6,0.2,Contra Costa County,CA,1.95 ,3.54 
6,0.2,Corpus Christi,TX,1.64 ,2.57 
6,0.2,Covington,KY,1.63 ,2.91 
6,0.2,Dallas,TX,1.50 ,2.57 
6,0.2,Danville,PA,1.24 ,2.86 
6,0.2,Davenport,IA,0.93 ,2.30 
6,0.2,Dayton,OH,1.64 ,2.63 
6,0.2,Dearborn,MI,1.12 ,1.62 
6,0.2,Denver,CO,1.66 ,2.35 
6,0.2,Des Moines,IA,1.22 ,4.16 
6,0.2,Detroit,MI,1.34 ,2.34 
6,0.2,Dothan,AL,0.89 ,2.52 
6,0.2,Dubuque,IA,0.95 ,6.00 
6,0.2,Duluth,MN,0.85 ,1.17 
6,0.2,Durham,NC,1.09 ,1.28 
6,0.2,East Long Island,NY,1.91 ,3.93 
6,0.2,El Paso,TX,1.63 ,3.04 
6,0.2,Elgin,IL,1.95 ,3.41 
