State,City,Percentage,Projected_Infected,Projected_Hospitalized,Projected_ICUed
OH,Akron,0.2,109598,22933,4959
CA,Alameda County,0.2,262038,53872,11400
GA,Albany,0.2,31429,6550,1410
NY,Albany,0.2,295545,62209,13545
NM,Albuquerque,0.2,267359,56108,12174
LA,Alexandria,0.2,44319,9266,2002
PA,Allentown,0.2,192114,40442,8807
PA,Altoona,0.2,46912,9986,2203
TX,Amarillo,0.2,66534,13806,2955
AK,Anchorage,0.2,110382,22385,4656
MI,Ann Arbor,0.2,223118,46365,9942
WI,Appleton,0.2,50909,10668,2310
VA,Arlington,0.2,381907,77695,16225
NC,Asheville,0.2,110626,23804,5316
GA,Atlanta,0.2,1005456,206224,43511
GA,Augusta,0.2,108048,22537,4854
IL,Aurora,0.2,49129,9981,2081
TX,Austin,0.2,304689,61851,12880
CA,Bakersfield,0.2,169423,34533,7229
MD,Baltimore,0.2,403001,83786,17976
ME,Bangor,0.2,63711,13585,3003
LA,Baton Rouge,0.2,149371,30795,6539
TX,Beaumont,0.2,71274,14884,3210
OR,Bend,0.2,37975,8114,1798
MT,Billings,0.2,95304,19964,4322
NY,Binghamton,0.2,57231,12148,2671
AL,Birmingham,0.2,354938,74366,16104
ND,Bismarck,0.2,36516,7675,1668
IL,Bloomington,0.2,32159,6603,1395
IL,Blue Island,0.2,134194,28052,6058
ID,Boise,0.2,140233,29208,6280
MA,Boston,0.2,804442,167702,36098
CO,Boulder,0.2,53497,10964,2311
FL,Bradenton,0.2,53276,11696,2671
CT,Bridgeport,0.2,107827,22428,4815
NY,Bronx,0.2,218948,44838,9442
TX,Bryan,0.2,46148,9381,1957
NY,Buffalo,0.2,218075,45891,9989
VT,Burlington,0.2,104544,21841,4714
NJ,Camden,0.2,441744,93226,20362
OH,Canton,0.2,99070,20988,4605
MO,Cape Girardeau,0.2,40580,8570,1873
WY,Casper,0.2,30577,6416,1392
IA,Cedar Rapids,0.2,46974,9841,2131
SC,Charleston,0.2,182881,38477,8374
WV,Charleston,0.2,130042,27667,6100
NC,Charlotte,0.2,404848,83639,17806
VA,Charlottesville,0.2,95560,20069,4358
TN,Chattanooga,0.2,113498,23870,5192
IL,Chicago,0.2,409014,83532,17529
CA,Chico,0.2,47976,10140,2219
OH,Cincinnati,0.2,258687,53815,11554
FL,Clearwater,0.2,86964,19023,4327
OH,Cleveland,0.2,320579,67629,14764
CO,Colorado Springs,0.2,134670,27866,5944
MO,Columbia,0.2,111585,23401,5073
SC,Columbia,0.2,195133,40678,8756
GA,Columbus,0.2,56163,11587,2463
OH,Columbus,0.2,481147,99801,21352
CA,Contra Costa County,0.2,168922,35118,7534
TX,Corpus Christi,0.2,87990,18296,3926
KY,Covington,0.2,65408,13511,2876
TX,Dallas,0.2,783766,159993,33556
PA,Danville,0.2,96285,20190,4376
IA,Davenport,0.2,75912,16060,3518
OH,Dayton,0.2,165142,34743,7560
MI,Dearborn,0.2,76517,15975,3445
CO,Denver,0.2,476071,97671,20614
IA,Des Moines,0.2,173957,36257,7802
MI,Detroit,0.2,263105,54830,11797
AL,Dothan,0.2,58019,12270,2687
IA,Dubuque,0.2,25156,5318,1164
MN,Duluth,0.2,54894,11638,2555
NC,Durham,0.2,219450,45967,9951
NY,East Long Island,0.2,762250,159104,34299
TX,El Paso,0.2,167836,34665,7378
IL,Elgin,0.2,122119,25118,5318
NY,Elmira,0.2,51014,10803,2369
OH,Elyria,0.2,40052,8447,1843
PA,Erie,0.2,112228,23795,5225
OR,Eugene,0.2,120714,25615,5630
IL,Evanston,0.2,142392,30146,6609
IN,Evansville,0.2,105789,22292,4860
WA,Everett,0.2,108481,22603,4862
ND,Fargo/Moorhead MN,0.2,86416,18134,3934
MI,Flint,0.2,85296,17904,3885
SC,Florence,0.2,57572,12132,2645
CO,Fort Collins,0.2,57599,11841,2506
FL,Fort Lauderdale,0.2,479323,102839,22893
FL,Fort Myers,0.2,215804,48103,11163
AR,Fort Smith,0.2,56394,11901,2599
IN,Fort Wayne,0.2,130276,27269,5898
TX,Fort Worth,0.2,352858,72324,15247
CA,Fresno,0.2,183629,37675,7952
FL,Gainesville,0.2,92808,19473,4224
IN,Gary,0.2,78433,16441,3562
ND,Grand Forks,0.2,26017,5433,1172
CO,Grand Junction,0.2,54104,11364,2468
MI,Grand Rapids,0.2,186783,38745,8289
MT,Great Falls,0.2,22984,4853,1061
CO,Greeley,0.2,58853,12238,2626
WI,Green Bay,0.2,80591,16986,3704
NC,Greensboro,0.2,101145,21128,4559
NC,Greenville,0.2,135862,28406,6136
SC,Greenville,0.2,148724,31175,6755
MS,Gulfport,0.2,31934,6610,1411
NJ,Hackensack,0.2,209774,43658,9379
TX,Harlingen,0.2,83727,17353,3709
PA,Harrisburg,0.2,165082,34846,7613
CT,Hartford,0.2,239267,50125,10853
MS,Hattiesburg,0.2,48084,10011,2152
NC,Hickory,0.2,45854,9688,2119
IL,Hinsdale,0.2,77147,15947,3397
HI,Honolulu,0.2,222805,46857,10192
LA,Houma,0.2,41235,8556,1831
TX,Houston,0.2,1055738,215206,45055
FL,Hudson,0.2,70246,15489,3553
WV,Huntington,0.2,55268,11704,2567
AL,Huntsville,0.2,101231,21137,4558
ID,Idaho Falls,0.2,33971,6995,1483
IN,Indianapolis,0.2,449879,93321,19966
IA,Iowa City,0.2,55844,11618,2494
MS,Jackson,0.2,158567,33022,7099
TN,Jackson,0.2,51220,10842,2376
FL,Jacksonville,0.2,268024,55761,11973
TN,Johnson City,0.2,47104,9926,2164
PA,Johnstown,0.2,34163,7351,1642
IL,Joliet,0.2,103362,21359,4549
AR,Jonesboro,0.2,37194,7799,1690
MO,Joplin,0.2,56560,11959,2618
MI,Kalamazoo,0.2,104039,21762,4703
MO,Kansas City,0.2,390180,81017,17355
OH,Kettering,0.2,66856,14093,3074
TN,Kingsport,0.2,75170,16067,3562
TN,Knoxville,0.2,221612,46870,10263
WI,La Crosse,0.2,55918,11779,2567
IN,Lafayette,0.2,39907,8187,1728
LA,Lafayette,0.2,95512,19778,4223
LA,Lake Charles,0.2,42121,8724,1863
FL,Lakeland,0.2,63477,13450,2951
PA,Lancaster,0.2,105743,22229,4833
MI,Lansing,0.2,112327,23297,4984
NV,Las Vegas,0.2,340999,70902,15213
OK,Lawton,0.2,30549,6344,1359
NH,Lebanon,0.2,64100,13657,3016
KY,Lexington,0.2,238568,49724,10700
NE,Lincoln,0.2,91801,19228,4162
AR,Little Rock,0.2,242496,50992,11090
TX,Longview,0.2,32263,6764,1466
CA,Los Angeles,0.2,1574832,323312,68296
KY,Louisville,0.2,277148,57822,12458
TX,Lubbock,0.2,109292,22513,4776
VA,Lynchburg,0.2,43469,9206,2019
GA,Macon,0.2,113738,23724,5110
WI,Madison,0.2,177386,36850,7898
NH,Manchester,0.2,142936,29886,6456
NY,Manhattan,0.2,834687,172372,36678
MI,Marquette,0.2,31856,6802,1506
WI,Marshfield,0.2,59116,12577,2773
IA,Mason City,0.2,20065,4322,967
TX,McAllen,0.2,97316,19897,4181
OR,Medford,0.2,70231,15160,3398
IL,Melrose Park,0.2,206302,42716,9119
TN,Memphis,0.2,273240,56595,12087
MS,Meridian,0.2,29612,6241,1361
AZ,Mesa,0.2,227124,47196,10119
LA,Metairie,0.2,73269,15369,3333
FL,Miami,0.2,548296,114178,24544
WI,Milwaukee,0.2,415841,86242,18447
MN,Minneapolis,0.2,514071,106761,22874
ND,Minot,0.2,22487,4639,986
MT,Missoula,0.2,63018,13385,2946
AL,Mobile,0.2,129791,27230,5906
CA,Modesto,0.2,136195,28149,5996
LA,Monroe,0.2,40957,8562,1849
AL,Montgomery,0.2,72173,15005,3219
WV,Morgantown,0.2,65858,13819,2998
NJ,Morristown,0.2,159028,33210,7163
IN,Muncie,0.2,25761,5420,1180
IN,Munster,0.2,47969,9974,2140
MI,Muskegon,0.2,41901,8829,1925
CA,Napa,0.2,43701,9322,2062
TN,Nashville,0.2,456532,94550,20190
WI,Neenah,0.2,38373,8049,1745
NJ,New Brunswick,0.2,169078,35039,7488
CT,New Haven,0.2,235414,49366,10701
LA,New Orleans,0.2,110865,22813,4833
NJ,Newark,0.2,246708,50638,10694
VA,Newport News,0.2,89485,18700,4037
VA,Norfolk,0.2,204700,42203,8962
FL,Ocala,0.2,89958,20608,4918
TX,Odessa,0.2,56751,11603,2438
UT,Ogden,0.2,71200,14514,3039
OK,Oklahoma City,0.2,298297,61978,13287
WA,Olympia,0.2,64031,13515,2952
NE,Omaha,0.2,202199,42124,9060
CA,Orange County,0.2,532512,109845,23341
FL,Orlando,0.2,626187,132544,29051
FL,Ormond Beach,0.2,67776,14945,3429
KY,Owensboro,0.2,22408,4731,1034
MS,Oxford,0.2,23371,4858,1042
KY,Paducah,0.2,58045,12367,2731
CA,Palm Springs/Rancho Mira,0.2,61195,13419,3060
NJ,Paterson,0.2,62155,12951,2786
FL,Pensacola,0.2,127371,26680,5776
IL,Peoria,0.2,93814,19840,4344
MI,Petoskey,0.2,28525,6138,1371
PA,Philadelphia,0.2,666275,138601,29757
