Month,Percentage,City,State,Percentage of Total Beds Needed,Percentage of Total ICU Beds Needed
6,0.2,Akron,OH,1.13,1.78
6,0.2,Alameda County,CA,1.33,2.59
6,0.2,Albany,GA,0.62,1.57
6,0.2,Albany,NY,0.86,2.12
6,0.2,Albuquerque,NM,1.29,2.14
6,0.2,Alexandria,LA,0.67,3.09
6,0.2,Allentown,PA,0.83,1.76
6,0.2,Altoona,PA,1.2,2.41
6,0.2,Amarillo,TX,0.74,1.02
6,0.2,Anchorage,AK,0.94,2.38
6,0.2,Ann Arbor,MI,1.03,1.63
6,0.2,Appleton,WI,1.59,2.14
6,0.2,Arlington,VA,1.66,2.4
6,0.2,Asheville,NC,1.03,1.53
6,0.2,Atlanta,GA,1.08,1.79
6,0.2,Augusta,GA,0.68,0.93
6,0.2,Aurora,IL,1.26,2.53
6,0.2,Austin,TX,1.49,2.19
6,0.2,Bakersfield,CA,0.95,2.52
6,0.2,Baltimore,MD,0.81,1.42
6,0.2,Bangor,ME,0.83,2
6,0.2,Baton Rouge,LA,0.71,1.75
6,0.2,Beaumont,TX,1.09,1.88
6,0.2,Bend,OR,1.3,3.16
6,0.2,Billings,MT,0.55,1.95
6,0.2,Binghamton,NY,0.81,3.3
6,0.2,Birmingham,AL,0.68,1.08
6,0.2,Bismarck,ND,0.53,1.39
6,0.2,Bloomington,IL,1.12,2.66
6,0.2,Blue Island,IL,0.91,1.31
6,0.2,Boise,ID,1.1,2.25
6,0.2,Boston,MA,1.09,2.08
6,0.2,Boulder,CO,1.14,1.71
6,0.2,Bradenton,FL,0.95,1.71
6,0.2,Bridgeport,CT,1.1,2.43
6,0.2,Bronx,NY,0.75,2.23
6,0.2,Bryan,TX,1.08,2.03
6,0.2,Buffalo,NY,0.65,2.06
6,0.2,Burlington,VT,0.84,2.68
6,0.2,Camden,NJ,0.95,1.94
6,0.2,Canton,OH,0.97,1.47
6,0.2,Cape Girardeau,MO,0.66,1.56
6,0.2,Casper,WY,0.68,2.91
6,0.2,Cedar Rapids,IA,0.82,3.23
6,0.2,Charleston,SC,0.85,1.7
6,0.2,Charleston,WV,0.7,1.43
6,0.2,Charlotte,NC,1.14,1.54
6,0.2,Charlottesville,VA,1.01,1.88
6,0.2,Chattanooga,TN,0.83,1.4
6,0.2,Chicago,IL,0.72,1.28
6,0.2,Chico,CA,1.26,2.9
6,0.2,Cincinnati,OH,0.94,1.36
6,0.2,Clearwater,FL,0.81,1.8
6,0.2,Cleveland,OH,0.62,1.11
6,0.2,Colorado Springs,CO,1.43,2.66
6,0.2,Columbia,MO,0.83,1.7
6,0.2,Columbia,SC,0.9,1.47
6,0.2,Columbus,GA,0.7,2.19
6,0.2,Columbus,OH,1.03,2.1
6,0.2,Contra Costa County,CA,1.36,2.47
6,0.2,Corpus Christi,TX,1.07,1.57
6,0.2,Covington,KY,1.09,2.06
6,0.2,Dallas,TX,1.01,1.73
6,0.2,Danville,PA,0.81,1.71
6,0.2,Davenport,IA,0.66,1.69
6,0.2,Dayton,OH,1.12,1.71
6,0.2,Dearborn,MI,0.74,1.22
6,0.2,Denver,CO,1.16,1.63
6,0.2,Des Moines,IA,0.88,3.01
6,0.2,Detroit,MI,0.89,1.54
6,0.2,Dothan,AL,0.61,1.66
6,0.2,Dubuque,IA,0.69,4.33
6,0.2,Duluth,MN,0.59,0.78
6,0.2,Durham,NC,0.68,0.84
6,0.2,East Long Island,NY,1.07,2.46
6,0.2,El Paso,TX,1.11,1.8
6,0.2,Elgin,IL,1.35,2.5
6,0.2,Elmira,NY,0.69,1.68
6,0.2,Elyria,OH,1.24,1.95
6,0.2,Erie,PA,0.83,1.89
6,0.2,Eugene,OR,1.41,2.72
6,0.2,Evanston,IL,0.99,1.33
6,0.2,Evansville,IN,0.69,0.99
6,0.2,Everett,WA,1.58,3.9
6,0.2,Fargo/Moorhead MN,ND,0.65,1.46
6,0.2,Flint,MI,0.87,1.61
6,0.2,Florence,SC,0.65,0.79
6,0.2,Fort Collins,CO,1.12,5.39
6,0.2,Fort Lauderdale,FL,0.94,1.68
6,0.2,Fort Myers,FL,1.03,2.78
6,0.2,Fort Smith,AR,0.85,1.99
6,0.2,Fort Wayne,IN,0.74,1.05
6,0.2,Fort Worth,TX,1.15,2.03
6,0.2,Fresno,CA,1.3,2.59
6,0.2,Gainesville,FL,0.71,0.93
6,0.2,Gary,IN,0.76,1.32
