State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Proejcted Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months",  ,"Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
AK,"1,583",130,0.66,0.58,533,"1,058",55,93,"552,319","74,340","110,464","22,401","4,659","1,493",2.80 ,1.41 ,0.94 ,747.00 ,1.40 ,0.71 ,0.47 ,487,0.91 ,0.46 ,0.31 ,311,5.65 ,3.34 ,2.39 ,155,2.82 ,1.67 ,1.19 ,101,1.84 ,1.09 ,0.78 
AL,"13,959","1,870",0.64,0.68,"4,994","9,476",606,"1,238","3,748,089","762,032","749,618","156,906","33,939","10,460",2.09 ,1.10 ,0.75 ,5230.00 ,1.05 ,0.55 ,0.37 ,"3,411",0.68 ,0.36 ,0.24 ,"2,263",3.73 ,1.83 ,1.21 ,"1,131",1.87 ,0.91 ,0.60 ,738,1.22 ,0.60 ,0.39 
AR,"8,428",856,0.52,0.58,"4,069","6,248",362,609,"2,272,226","476,167","454,445","95,392","20,703","6,359",1.56 ,1.02 ,0.75 ,3180.00 ,0.78 ,0.51 ,0.38 ,"2,074",0.51 ,0.33 ,0.25 ,"1,380",3.81 ,2.27 ,1.61 ,690,1.91 ,1.13 ,0.81 ,450,1.24 ,0.74 ,0.53 
AZ,"12,868","1,742",0.62,0.53,"4,938","8,903",814,"1,278","5,187,520","1,106,362","1,037,504","218,147","47,439","14,543",2.95 ,1.63 ,1.13 ,7272.00 ,1.47 ,0.82 ,0.57 ,"4,742",0.96 ,0.53 ,0.37 ,"3,163",3.89 ,2.47 ,1.82 ,"1,581",1.94 ,1.24 ,0.91 ,"1,031",1.27 ,0.81 ,0.59 
CA,"68,554","8,131",0.67,0.58,"22,831","45,692","3,381","5,756","29,868,127","5,148,448","5,973,625","1,232,809","262,113","82,187",3.60 ,1.80 ,1.20 ,41094.00 ,1.80 ,0.90 ,0.60 ,"26,800",1.17 ,0.59 ,0.39 ,"17,474",5.17 ,3.04 ,2.15 ,"8,737",2.58 ,1.52 ,1.07 ,"5,698",1.69 ,0.99 ,0.70 
CO,"9,620","1,264",0.58,0.6,"4,033","6,826",500,882,"4,185,186","707,396","837,037","172,478","36,601","11,499",2.85 ,1.68 ,1.20 ,5749.00 ,1.43 ,0.84 ,0.60 ,"3,750",0.93 ,0.55 ,0.39 ,"2,440",4.88 ,2.77 ,1.93 ,"1,220",2.44 ,1.38 ,0.97 ,796,1.59 ,0.90 ,0.63 
CT,"6,894",731,0.76,0.61,"1,643","4,269",285,508,"2,831,746","575,757","566,349","118,546","25,641","7,903",4.81 ,1.85 ,1.15 ,3952.00 ,2.41 ,0.93 ,0.57 ,"2,577",1.57 ,0.60 ,0.37 ,"1,709",6.00 ,3.36 ,2.34 ,855,3.00 ,1.68 ,1.17 ,557,1.95 ,1.10 ,0.76 
DC,"2,405",401,0.72,0.6,671,"1,538",159,280,"554,333","79,769","110,867","22,580","4,722","1,505",2.24 ,0.98 ,0.63 ,753.00 ,1.12 ,0.49 ,0.31 ,491,0.73 ,0.32 ,0.20 ,315,1.98 ,1.13 ,0.79 ,157,0.99 ,0.56 ,0.39 ,103,0.65 ,0.37 ,0.26 
DE,"1,864",249,0.72,0.75,516,"1,190",63,156,"739,679","160,565","147,936","31,159","6,790","2,077",4.03 ,1.75 ,1.11 ,1039.00 ,2.01 ,0.87 ,0.56 ,677,1.31 ,0.57 ,0.36 ,453,7.19 ,2.90 ,1.82 ,226,3.59 ,1.45 ,0.91 ,148,2.35 ,0.95 ,0.59 
FL,"51,190","6,226",0.66,0.67,"17,651","34,421","2,044","4,135","16,166,865","3,926,889","3,233,373","688,952","152,165","45,930",2.60 ,1.33 ,0.90 ,22965.00 ,1.30 ,0.67 ,0.45 ,"14,977",0.85 ,0.44 ,0.29 ,"10,144",4.96 ,2.45 ,1.63 ,"5,072",2.48 ,1.23 ,0.81 ,"3,308",1.62 ,0.80 ,0.53 
