State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Proejcted Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
AK,"1,583",130,0.66,0.58,533,"1,058",55,93,"552,319","74,340","331,391","67,202","13,976","4,480",8.41 ,4.23 ,2.83 ,"2,240",4.20 ,2.12 ,1.42 ,"1,461",2.74 ,1.38 ,0.92 ,932,16.95 ,10.02 ,7.17 ,466,8.47 ,5.01 ,3.58 ,304,5.53 ,3.27 ,2.34 
AL,"13,959","1,870",0.64,0.68,"4,994","9,476",606,"1,238","3,748,089","762,032","2,248,853","470,718","101,816","31,381",6.28 ,3.31 ,2.25 ,"15,691",3.14 ,1.66 ,1.12 ,"10,233",2.05 ,1.08 ,0.73 ,"6,788",11.20 ,5.48 ,3.63 ,"3,394",5.60 ,2.74 ,1.81 ,"2,213",3.65 ,1.79 ,1.18 
AR,"8,428",856,0.52,0.58,"4,069","6,248",362,609,"2,272,226","476,167","1,363,336","286,175","62,109","19,078",4.69 ,3.05 ,2.26 ,"9,539",2.34 ,1.53 ,1.13 ,"6,221",1.53 ,1.00 ,0.74 ,"4,141",11.44 ,6.80 ,4.84 ,"2,070",5.72 ,3.40 ,2.42 ,"1,350",3.73 ,2.22 ,1.58 
AZ,"12,868","1,742",0.62,0.53,"4,938","8,903",814,"1,278","5,187,520","1,106,362","3,112,512","654,440","142,316","43,629",8.84 ,4.90 ,3.39 ,"21,815",4.42 ,2.45 ,1.70 ,"14,227",2.88 ,1.60 ,1.11 ,"9,488",11.66 ,7.42 ,5.45 ,"4,744",5.83 ,3.71 ,2.72 ,"3,094",3.80 ,2.42 ,1.78 
CA,"68,554","8,131",0.67,0.58,"22,831","45,692","3,381","5,756","29,868,127","5,148,448","17,920,876","3,698,428","786,338","246,562",10.80 ,5.40 ,3.60 ,"123,281",5.40 ,2.70 ,1.80 ,"80,401",3.52 ,1.76 ,1.17 ,"52,423",15.51 ,9.11 ,6.45 ,"26,211",7.75 ,4.55 ,3.22 ,"17,094",5.06 ,2.97 ,2.10 
CO,"9,620","1,264",0.58,0.6,"4,033","6,826",500,882,"4,185,186","707,396","2,511,112","517,433","109,804","34,496",8.55 ,5.05 ,3.59 ,"17,248",4.28 ,2.53 ,1.79 ,"11,249",2.79 ,1.65 ,1.17 ,"7,320",14.64 ,8.30 ,5.79 ,"3,660",7.32 ,4.15 ,2.90 ,"2,387",4.77 ,2.71 ,1.89 
CT,"6,894",731,0.76,0.61,"1,643","4,269",285,508,"2,831,746","575,757","1,699,048","355,637","76,924","23,709",14.43 ,5.55 ,3.44 ,"11,855",7.22 ,2.78 ,1.72 ,"7,731",4.71 ,1.81 ,1.12 ,"5,128",17.99 ,10.09 ,7.02 ,"2,564",9.00 ,5.05 ,3.51 ,"1,672",5.87 ,3.29 ,2.29 
DC,"2,405",401,0.72,0.6,671,"1,538",159,280,"554,333","79,769","332,600","67,741","14,167","4,516",6.73 ,2.94 ,1.88 ,"2,258",3.37 ,1.47 ,0.94 ,"1,473",2.20 ,0.96 ,0.61 ,944,5.94 ,3.37 ,2.35 ,472,2.97 ,1.69 ,1.18 ,308,1.94 ,1.10 ,0.77 
DE,"1,864",249,0.72,0.75,516,"1,190",63,156,"739,679","160,565","443,807","93,476","20,369","6,232",12.08 ,5.24 ,3.34 ,"3,116",6.04 ,2.62 ,1.67 ,"2,032",3.94 ,1.71 ,1.09 ,"1,358",21.56 ,8.71 ,5.45 ,679,10.78 ,4.35 ,2.73 ,443,7.03 ,2.84 ,1.78 
FL,"51,190","6,226",0.66,0.67,"17,651","34,421","2,044","4,135","16,166,865","3,926,889","9,700,119","2,066,855","456,495","137,790",7.81 ,4.00 ,2.69 ,"68,895",3.90 ,2.00 ,1.35 ,"44,932",2.55 ,1.31 ,0.88 ,"30,433",14.89 ,7.36 ,4.89 ,"15,216",7.44 ,3.68 ,2.44 ,"9,924",4.86 ,2.40 ,1.59 
GA,"23,831","2,703",0.7,0.72,"7,210","15,520",752,"1,728","7,702,432","1,300,430","4,621,459","952,202","202,044","63,480",8.80 ,4.09 ,2.66 ,"31,740",4.40 ,2.05 ,1.33 ,"20,700",2.87 ,1.33 ,0.87 ,"13,470",17.91 ,7.80 ,4.98 ,"6,735",8.96 ,3.90 ,2.49 ,"4,392",5.84 ,2.54 ,1.62 
HI,"2,623",219,0.7,0.67,795,"1,709",73,146,"1,114,075","238,126","668,445","140,578","30,578","9,372",11.79 ,5.48 ,3.57 ,"4,686",5.89 ,2.74 ,1.79 ,"3,056",3.84 ,1.79 ,1.17 ,"2,039",27.93 ,13.97 ,9.31 ,"1,019",13.96 ,6.98 ,4.65 ,665,9.11 ,4.55 ,3.04 
