Month,Percentage,State,Hospital Bed Needed,ICU Beds Needed
6,0.2,AK,1493.00 ,311.00 
6,0.2,AL,10460.00 ,2263.00 
6,0.2,AR,6359.00 ,1380.00 
6,0.2,AZ,14543.00 ,3163.00 
6,0.2,CA,82187.00 ,17474.00 
6,0.2,CO,11499.00 ,2440.00 
6,0.2,CT,7903.00 ,1709.00 
6,0.2,DC,1505.00 ,315.00 
6,0.2,DE,2077.00 ,453.00 
6,0.2,FL,45930.00 ,10144.00 
6,0.2,GA,21160.00 ,4490.00 
6,0.2,HI,3124.00 ,680.00 
6,0.2,IA,6688.00 ,1452.00 
6,0.2,ID,3405.00 ,734.00 
6,0.2,IL,27409.00 ,5875.00 
6,0.2,IN,13986.00 ,3007.00 
6,0.2,KS,6077.00 ,1308.00 
6,0.2,KY,9495.00 ,2047.00 
6,0.2,LA,9826.00 ,2104.00 
6,0.2,MA,15024.00 ,3234.00 
6,0.2,MD,12852.00 ,2748.00 
6,0.2,ME,3036.00 ,667.00 
6,0.2,MI,21545.00 ,4662.00 
6,0.2,MN,11669.00 ,2507.00 
6,0.2,MO,13082.00 ,2831.00 
6,0.2,MS,6279.00 ,1351.00 
6,0.2,MT,2259.00 ,493.00 
6,0.2,NC,21585.00 ,4648.00 
6,0.2,ND,1593.00 ,341.00 
6,0.2,NE,3961.00 ,853.00 
6,0.2,NH,2983.00 ,646.00 
6,0.2,NJ,19348.00 ,4165.00 
6,0.2,NM,4437.00 ,962.00 
6,0.2,NV,6151.00 ,1320.00 
6,0.2,NY,43318.00 ,9316.00 
6,0.2,OH,25092.00 ,5433.00 
6,0.2,OK,8175.00 ,1761.00 
6,0.2,OR,8837.00 ,1916.00 
6,0.2,PA,28353.00 ,6174.00 
6,0.2,PR,7733.00 ,1697.00 
6,0.2,RI,2358.00 ,509.00 
6,0.2,SC,10640.00 ,2309.00 
6,0.2,SD,1800.00 ,390.00 
6,0.2,TN,14203.00 ,3064.00 
6,0.2,TX,55263.00 ,11661.00 
6,0.2,UT,5665.00 ,1187.00 
6,0.2,VA,17970.00 ,3843.00 
6,0.2,VT,1418.00 ,309.00 
6,0.2,WA,15375.00 ,3293.00 
6,0.2,WI,12458.00 ,2691.00 
6,0.2,WV,4125.00 ,905.00 
6,0.2,WY,1234.00 ,265.00 
6,0.4,AK,2987.00 ,621.00 
6,0.4,AL,20921.00 ,4525.00 
6,0.4,AR,12719.00 ,2760.00 
6,0.4,AZ,29086.00 ,6325.00 
6,0.4,CA,164375.00 ,34948.00 
6,0.4,CO,22997.00 ,4880.00 
6,0.4,CT,15806.00 ,3419.00 
6,0.4,DC,3011.00 ,630.00 
6,0.4,DE,4154.00 ,905.00 
6,0.4,FL,91860.00 ,20289.00 
6,0.4,GA,42320.00 ,8980.00 
6,0.4,HI,6248.00 ,1359.00 
6,0.4,IA,13376.00 ,2903.00 
6,0.4,ID,6810.00 ,1469.00 
6,0.4,IL,54819.00 ,11750.00 
6,0.4,IN,27972.00 ,6014.00 
6,0.4,KS,12153.00 ,2617.00 
6,0.4,KY,18991.00 ,4094.00 
6,0.4,LA,19652.00 ,4207.00 
6,0.4,MA,30049.00 ,6467.00 
6,0.4,MD,25703.00 ,5497.00 
6,0.4,ME,6072.00 ,1334.00 
6,0.4,MI,43090.00 ,9324.00 
6,0.4,MN,23338.00 ,5015.00 
6,0.4,MO,26164.00 ,5661.00 
6,0.4,MS,12557.00 ,2701.00 
6,0.4,MT,4518.00 ,986.00 
6,0.4,NC,43170.00 ,9296.00 
6,0.4,ND,3185.00 ,683.00 
6,0.4,NE,7921.00 ,1706.00 
6,0.4,NH,5967.00 ,1292.00 
6,0.4,NJ,38696.00 ,8330.00 
6,0.4,NM,8874.00 ,1923.00 
6,0.4,NV,12301.00 ,2641.00 
6,0.4,NY,86635.00 ,18633.00 
6,0.4,OH,50185.00 ,10867.00 
6,0.4,OK,16351.00 ,3521.00 
6,0.4,OR,17675.00 ,3831.00 
6,0.4,PA,56707.00 ,12349.00 
6,0.4,PR,15466.00 ,3393.00 
6,0.4,RI,4715.00 ,1019.00 
6,0.4,SC,21281.00 ,4617.00 
6,0.4,SD,3600.00 ,779.00 
6,0.4,TN,28406.00 ,6129.00 
6,0.4,TX,110527.00 ,23322.00 
6,0.4,UT,11329.00 ,2374.00 
6,0.4,VA,35941.00 ,7686.00 
6,0.4,VT,2835.00 ,618.00 
6,0.4,WA,30750.00 ,6585.00 
6,0.4,WI,24916.00 ,5381.00 
6,0.4,WV,8249.00 ,1810.00 
