Month,Percentage,State,Percentage of Potentially_Available Bed,Percentage of Potentially_Available ICU
6,0.2,AK,1.41 ,3.34 
6,0.2,AL,1.10 ,1.83 
6,0.2,AR,1.02 ,2.27 
6,0.2,AZ,1.63 ,2.47 
6,0.2,CA,1.80 ,3.04 
6,0.2,CO,1.68 ,2.77 
6,0.2,CT,1.85 ,3.36 
6,0.2,DC,0.98 ,1.13 
6,0.2,DE,1.75 ,2.90 
6,0.2,FL,1.33 ,2.45 
6,0.2,GA,1.36 ,2.60 
6,0.2,HI,1.83 ,4.66 
6,0.2,IA,1.00 ,3.17 
6,0.2,ID,1.40 ,3.01 
6,0.2,IL,1.29 ,2.43 
6,0.2,IN,1.11 ,1.80 
6,0.2,KS,0.90 ,2.06 
6,0.2,KY,1.03 ,2.10 
6,0.2,LA,0.99 ,1.96 
6,0.2,MA,1.73 ,3.04 
6,0.2,MD,1.77 ,3.33 
6,0.2,ME,1.42 ,3.37 
6,0.2,MI,1.30 ,2.50 
6,0.2,MN,1.29 ,2.90 
6,0.2,MO,1.09 ,1.91 
6,0.2,MS,0.73 ,2.04 
6,0.2,MT,0.87 ,2.74 
6,0.2,NC,1.58 ,2.28 
6,0.2,ND,0.67 ,1.82 
6,0.2,NE,0.93 ,2.27 
6,0.2,NH,1.69 ,3.57 
6,0.2,NJ,1.43 ,3.04 
6,0.2,NM,1.84 ,2.97 
6,0.2,NV,1.72 ,1.93 
6,0.2,NY,1.37 ,3.06 
6,0.2,OH,1.27 ,2.21 
6,0.2,OK,1.05 ,2.21 
6,0.2,OR,1.91 ,3.26 
6,0.2,PA,1.27 ,2.44 
6,0.2,PR,1.39 ,3.39 
6,0.2,RI,1.71 ,2.86 
6,0.2,SC,1.37 ,2.40 
6,0.2,SD,0.61 ,3.48 
6,0.2,TN,1.13 ,2.10 
6,0.2,TX,1.43 ,2.40 
6,0.2,UT,1.62 ,2.34 
6,0.2,VA,1.57 ,2.84 
6,0.2,VT,1.59 ,4.23 
6,0.2,WA,1.93 ,3.26 
6,0.2,WI,1.51 ,2.47 
