State,City,Month,Percentage,Percentage of Available Bed,Percentage of Available ICU
OH,Akron,6,0.2,2.95,3.52
CA,Alameda County,6,0.2,5.4,5.47
GA,Albany,6,0.2,1.98,3.48
NY,Albany,6,0.2,2.63,4.68
NM,Albuquerque,6,0.2,3.39,5.04
LA,Alexandria,6,0.2,1.54,6.65
PA,Allentown,6,0.2,2.13,4.1
PA,Altoona,6,0.2,2.85,5.44
TX,Amarillo,6,0.2,1.36,2.49
AK,Anchorage,6,0.2,2.8,5.64
MI,Ann Arbor,6,0.2,3.53,5.43
WI,Appleton,6,0.2,3.2,4.16
VA,Arlington,6,0.2,5.21,6.25
NC,Asheville,6,0.2,2.85,4.66
GA,Atlanta,6,0.2,4.12,6.65
GA,Augusta,6,0.2,1.81,3.06
IL,Aurora,6,0.2,2.33,5.56
TX,Austin,6,0.2,4.11,5.34
CA,Bakersfield,6,0.2,3.33,5.48
MD,Baltimore,6,0.2,2.96,3.95
ME,Bangor,6,0.2,2.27,7.14
LA,Baton Rouge,6,0.2,1.77,3.66
TX,Beaumont,6,0.2,2.36,4.98
OR,Bend,6,0.2,2.97,7.06
MT,Billings,6,0.2,1.43,4.43
NY,Binghamton,6,0.2,2.22,10.47
AL,Birmingham,6,0.2,1.8,3.14
ND,Bismarck,6,0.2,1.21,2.58
IL,Bloomington,6,0.2,2.19,9.3
IL,Blue Island,6,0.2,3.21,3.42
ID,Boise,6,0.2,2.3,4.41
MA,Boston,6,0.2,4.39,5.5
CO,Boulder,6,0.2,2.46,3.58
FL,Bradenton,6,0.2,2.28,3.63
CT,Bridgeport,6,0.2,4.04,4.94
NY,Bronx,6,0.2,3.7,5.47
TX,Bryan,6,0.2,1.97,3.82
NY,Buffalo,6,0.2,2.49,7.01
VT,Burlington,6,0.2,2.48,4.83
NJ,Camden,6,0.2,2.71,4.63
OH,Canton,6,0.2,1.98,3.16
MO,Cape Girardeau,6,0.2,1.43,2.91
WY,Casper,6,0.2,1.13,4.65
IA,Cedar Rapids,6,0.2,1.8,6.45
SC,Charleston,6,0.2,2.63,5.52
WV,Charleston,6,0.2,1.58,4.2
NC,Charlotte,6,0.2,3.81,4.77
VA,Charlottesville,6,0.2,3.09,8.31
TN,Chattanooga,6,0.2,2.44,5.86
IL,Chicago,6,0.2,1.76,3.75
CA,Chico,6,0.2,4.42,6.43
OH,Cincinnati,6,0.2,2.33,4.16
FL,Clearwater,6,0.2,1.76,6.55
OH,Cleveland,6,0.2,1.71,3.22
CO,Colorado Springs,6,0.2,3.35,6.39
MO,Columbia,6,0.2,1.73,4.39
SC,Columbia,6,0.2,2.58,3.87
GA,Columbus,6,0.2,1.41,4.97
OH,Columbus,6,0.2,2.38,6.06
CA,Contra Costa County,6,0.2,3.47,6.2
TX,Corpus Christi,6,0.2,3.42,6.89
KY,Covington,6,0.2,3.22,4.92
TX,Dallas,6,0.2,2.9,4.97
PA,Danville,6,0.2,2.64,8.85
IA,Davenport,6,0.2,1.53,3.56
OH,Dayton,6,0.2,3.09,5.66
MI,Dearborn,6,0.2,2.31,2.42
CO,Denver,6,0.2,2.87,4.23
IA,Des Moines,6,0.2,2.03,6.84
MI,Detroit,6,0.2,2.74,4.82
AL,Dothan,6,0.2,1.62,5.42
IA,Dubuque,6,0.2,1.56,9.75
MN,Duluth,6,0.2,1.53,2.33
NC,Durham,6,0.2,2.72,2.75
NY,East Long Island,6,0.2,8.62,9.73
TX,El Paso,6,0.2,3.07,9.65
IL,Elgin,6,0.2,3.53,5.3
NY,Elmira,6,0.2,1.99,11.29
OH,Elyria,6,0.2,2.63,5.86
PA,Erie,6,0.2,2.25,3.95
OR,Eugene,6,0.2,4.11,5.86
IL,Evanston,6,0.2,3.02,3.22
IN,Evansville,6,0.2,1.42,2.06
WA,Everett,6,0.2,4.72,12.46
ND,Fargo/Moorhead MN,6,0.2,1.65,5.46
MI,Flint,6,0.2,2.61,4.47
SC,Florence,6,0.2,1.68,2.23
CO,Fort Collins,6,0.2,2.31,11.93
FL,Fort Lauderdale,6,0.2,2.49,5.23
FL,Fort Myers,6,0.2,2.94,7.67
AR,Fort Smith,6,0.2,1.63,3.15
IN,Fort Wayne,6,0.2,1.75,2.75
TX,Fort Worth,6,0.2,3.44,5.43
CA,Fresno,6,0.2,4.59,6.88
FL,Gainesville,6,0.2,2.77,3.2
IN,Gary,6,0.2,1.72,2.49
ND,Grand Forks,6,0.2,0.97,4.33
CO,Grand Junction,6,0.2,2.36,5
