State,City,Month,Percentage,Hospital Bed Needed,ICU Bed Needed
OH,Akron,6,0.2,1529,331
CA,Alameda County,6,0.2,3591,760
GA,Albany,6,0.2,437,94
NY,Albany,6,0.2,4147,903
NM,Albuquerque,6,0.2,3741,812
LA,Alexandria,6,0.2,618,133
PA,Allentown,6,0.2,2696,587
PA,Altoona,6,0.2,666,147
TX,Amarillo,6,0.2,920,197
AK,Anchorage,6,0.2,1492,310
MI,Ann Arbor,6,0.2,3091,663
WI,Appleton,6,0.2,711,154
VA,Arlington,6,0.2,5180,1082
NC,Asheville,6,0.2,1587,354
GA,Atlanta,6,0.2,13748,2901
GA,Augusta,6,0.2,1502,324
IL,Aurora,6,0.2,665,139
TX,Austin,6,0.2,4123,859
CA,Bakersfield,6,0.2,2302,482
MD,Baltimore,6,0.2,5586,1198
ME,Bangor,6,0.2,906,200
LA,Baton Rouge,6,0.2,2053,436
TX,Beaumont,6,0.2,992,214
OR,Bend,6,0.2,541,120
MT,Billings,6,0.2,1331,288
NY,Binghamton,6,0.2,810,178
AL,Birmingham,6,0.2,4958,1074
ND,Bismarck,6,0.2,512,111
IL,Bloomington,6,0.2,440,93
IL,Blue Island,6,0.2,1870,404
ID,Boise,6,0.2,1947,419
MA,Boston,6,0.2,11180,2407
CO,Boulder,6,0.2,731,154
FL,Bradenton,6,0.2,780,178
CT,Bridgeport,6,0.2,1495,321
NY,Bronx,6,0.2,2989,629
TX,Bryan,6,0.2,625,130
NY,Buffalo,6,0.2,3059,666
VT,Burlington,6,0.2,1456,314
NJ,Camden,6,0.2,6215,1357
OH,Canton,6,0.2,1399,307
MO,Cape Girardeau,6,0.2,571,125
WY,Casper,6,0.2,428,93
IA,Cedar Rapids,6,0.2,656,142
SC,Charleston,6,0.2,2565,558
WV,Charleston,6,0.2,1844,407
NC,Charlotte,6,0.2,5576,1187
VA,Charlottesville,6,0.2,1338,291
TN,Chattanooga,6,0.2,1591,346
IL,Chicago,6,0.2,5569,1169
CA,Chico,6,0.2,676,148
OH,Cincinnati,6,0.2,3588,770
FL,Clearwater,6,0.2,1268,288
OH,Cleveland,6,0.2,4509,984
CO,Colorado Springs,6,0.2,1858,396
MO,Columbia,6,0.2,1560,338
SC,Columbia,6,0.2,2712,584
GA,Columbus,6,0.2,772,164
OH,Columbus,6,0.2,6653,1423
CA,Contra Costa County,6,0.2,2341,502
TX,Corpus Christi,6,0.2,1220,262
KY,Covington,6,0.2,901,192
TX,Dallas,6,0.2,10666,2237
PA,Danville,6,0.2,1346,292
IA,Davenport,6,0.2,1071,235
OH,Dayton,6,0.2,2316,504
MI,Dearborn,6,0.2,1065,230
CO,Denver,6,0.2,6511,1374
IA,Des Moines,6,0.2,2417,520
MI,Detroit,6,0.2,3655,786
AL,Dothan,6,0.2,818,179
IA,Dubuque,6,0.2,355,78
MN,Duluth,6,0.2,776,170
NC,Durham,6,0.2,3064,663
NY,East Long Island,6,0.2,10607,2287
TX,El Paso,6,0.2,2311,492
IL,Elgin,6,0.2,1675,355
NY,Elmira,6,0.2,720,158
OH,Elyria,6,0.2,563,123
PA,Erie,6,0.2,1586,348
OR,Eugene,6,0.2,1708,375
IL,Evanston,6,0.2,2010,441
IN,Evansville,6,0.2,1486,324
WA,Everett,6,0.2,1507,324
ND,Fargo/Moorhead MN,6,0.2,1209,262
MI,Flint,6,0.2,1194,259
SC,Florence,6,0.2,809,176
CO,Fort Collins,6,0.2,789,167
FL,Fort Lauderdale,6,0.2,6856,1526
