City,State,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
Akron,OH,"1,358",186,518,938,94,140,"547,990","111,042","219,196","45,867","9,917","3,058",5.9,3.26,2.25,1529,2.95,1.63,1.13,997,1.92,1.06,0.73,661,7.03,4.72,3.55,331,3.52,2.36,1.78,216,2.3,1.54,1.16
Alameda County,CA,"2,695",293,665,"1,680",139,216,"1,310,189","214,991","524,076","107,744","22,800","7,183",10.8,4.28,2.67,3591,5.4,2.14,1.33,2342,3.52,1.39,0.87,1520,10.94,7.04,5.19,760,5.47,3.52,2.59,496,3.57,2.3,1.69
Albany,GA,704,60,221,462,27,43,"157,143","30,466","62,857","13,101","2,819",873,3.95,1.89,1.24,437,1.98,0.95,0.62,285,1.29,0.62,0.4,188,6.96,4.37,3.13,94,3.48,2.19,1.57,61,2.26,1.42,1.02
Albany,NY,"4,804",425,"1,579","3,191",193,309,"1,477,723","318,695","591,089","124,417","27,091","8,294",5.25,2.6,1.73,4147,2.63,1.3,0.86,2705,1.71,0.85,0.56,1806,9.36,5.84,4.25,903,4.68,2.92,2.12,589,3.05,1.91,1.39
Albuquerque,NM,"2,908",380,"1,102","2,005",161,270,"1,336,795","279,457","534,718","112,216","24,348","7,481",6.79,3.73,2.57,3741,3.39,1.87,1.29,2439,2.21,1.22,0.84,1623,10.08,6.01,4.27,812,5.04,3.01,2.14,529,3.29,1.96,1.39
Alexandria,LA,917,43,402,660,20,31,"221,597","44,519","88,639","18,533","4,003","1,236",3.07,1.87,1.35,618,1.54,0.94,0.67,403,1,0.61,0.44,267,13.35,8.61,6.21,133,6.65,4.29,3.09,87,4.35,2.81,2.02
Allentown,PA,"3,267",334,"1,267","2,267",143,238,"960,572","207,376","384,229","80,884","17,614","5,392",4.26,2.38,1.65,2696,2.13,1.19,0.83,1758,1.39,0.78,0.54,1174,8.21,4.93,3.51,587,4.1,2.47,1.76,383,2.68,1.61,1.15
Altoona,PA,555,61,234,394,27,44,"234,560","56,483","93,824","19,973","4,407","1,332",5.69,3.38,2.4,666,2.85,1.69,1.2,434,1.85,1.1,0.78,294,10.89,6.68,4.82,147,5.44,3.34,2.41,96,3.56,2.18,1.57
Amarillo,TX,"1,236",194,678,957,79,137,"332,671","61,267","133,068","27,611","5,910","1,841",2.72,1.92,1.49,920,1.36,0.96,0.74,600,0.88,0.63,0.49,394,4.99,2.88,2.03,197,2.49,1.44,1.02,128,1.62,0.93,0.66
Anchorage,AK,"1,583",130,533,"1,058",55,93,"551,912","74,327","220,765","44,770","9,311","2,985",5.6,2.82,1.89,1492,2.8,1.41,0.94,973,1.83,0.92,0.61,621,11.29,6.68,4.78,310,5.64,3.33,2.38,202,3.67,2.17,1.55
